"","user_id","country","gender","device_type","test_group","converted","total_spent"
"","1016880","TUR","F","A","A","Yes","53.3000"
"","1024162","USA","F","I","B","Yes","95.3900"
"","1019688","USA","M","I","A","Yes","49.8900"
"","1037475","USA","F","I","B","Yes","63.8300"
"","1023700","ESP","F","I","B","Yes","114.1691"
"","1032615","BRA","F","A","A","Yes","56.9000"
"","1015189","USA","M","A","B","Yes","34.5800"
"","1039156","BRA","M","A","B","Yes","12.0800"
"","1044267","GBR","F","I","A","Yes","48.1000"
"","1047911","BRA","F","I","B","Yes","53.7000"
"","1019834","GBR","M","A","B","Yes","101.8300"
"","1037261","USA","M","I","B","Yes","94.3400"
"","1047263","MEX","M","A","B","Yes","34.9600"
"","1030245","DEU","F","A","A","Yes","202.8000"
"","1011474","USA","F","A","A","Yes","152.0900"
"","1012501","GBR","O","A","A","Yes","26.8400"
"","1048100","BRA","M","I","A","Yes","64.9300"
"","1020368","USA","F","I","A","Yes","29.6500"
"","1026343","AUS","M","I","B","Yes","136.8000"
"","1022387","BRA","M","I","B","Yes","28.3800"
"","1024755","BRA","F","A","A","Yes","33.4800"
"","1018482","CAN","F","A","B","Yes","42.8200"
"","1025967","ESP","F","I","A","Yes","33.9600"
"","1028400","MEX","unknown","I","B","Yes","64.6800"
"","1000415","DEU","unknown","I","B","Yes","57.6900"
"","1029041","BRA","F","A","B","Yes","20.3800"
"","1023677","MEX","F","A","B","Yes","20.5900"
"","1046947","DEU","F","I","A","Yes","34.9000"
"","1028032","USA","M","A","A","Yes","79.3300"
"","1020503","USA","unknown","I","B","Yes","43.6600"
"","1024995","TUR","F","A","B","Yes","14.2200"
"","1003248","BRA","M","A","B","Yes","59.9300"
"","1023580","BRA","M","I","A","Yes","16.1900"
"","1004454","MEX","M","I","B","Yes","75.0700"
"","1033285","USA","M","A","B","Yes","27.8200"
"","1006366","MEX","F","I","B","Yes","116.9500"
"","1016223","BRA","F","A","A","Yes","682.3000"
"","1039148","USA","unknown","I","A","Yes","31.1600"
"","1007779","USA","unknown","A","A","Yes","26.1300"
"","1038490","BRA","F","A","A","Yes","85.1300"
"","1015758","MEX","unknown","I","A","Yes","83.4300"
"","1018463","CAN","F","I","B","Yes","43.3900"
"","1007136","USA","F","A","A","Yes","85.1200"
"","1044819","BRA","F","A","B","Yes","31.8500"
"","1005248","DEU","M","I","B","Yes","59.2200"
"","1041010","TUR","M","I","A","Yes","44.5200"
"","1038905","FRA","F","A","A","Yes","193.7025"
"","1037304","FRA","O","A","B","Yes","49.4500"
"","1046160","TUR","F","I","B","Yes","121.4130"
"","1015175","USA","F","A","A","Yes","87.6800"
"","1008420","DEU","M","I","B","Yes","43.3200"
"","1035067","MEX","unknown","A","B","Yes","86.6400"
"","1026873","USA","M","I","B","Yes","27.9200"
"","1033177","BRA","unknown","A","A","Yes","41.3200"
"","1014717","DEU","unknown","I","B","Yes","72.2200"
"","1004324","GBR","M","A","B","Yes","56.2500"
"","1015957","MEX","unknown","I","A","Yes","49.2400"
"","1035747","DEU","M","I","B","Yes","44.6700"
"","1022374","USA","F","I","A","Yes","102.7900"
"","1007654","MEX","unknown","I","B","Yes","40.5300"
"","1049766","FRA","F","A","B","Yes","61.0700"
"","1005816","TUR","F","I","B","Yes","43.5200"
"","1025743","USA","F","I","B","Yes","67.9900"
"","1028154","USA","F","I","B","Yes","105.6900"
"","1022823","USA","unknown","A","A","Yes","14.5700"
"","1008155","MEX","M","A","A","Yes","15.8000"
"","1016433","MEX","F","I","B","Yes","765.1000"
"","1013979","MEX","F","I","B","Yes","23.4300"
"","1043749","DEU","F","A","A","Yes","61.6500"
"","1005381","TUR","F","A","B","Yes","23.2945"
"","1004777","FRA","F","A","B","Yes","32.5400"
"","1044067","USA","unknown","I","B","Yes","73.4100"
"","1003816","BRA","unknown","A","A","Yes","173.5500"
"","1046415","USA","unknown","I","B","Yes","49.9700"
"","1045644","MEX","M","I","A","Yes","60.6200"
"","1015747","DEU","M","I","A","Yes","40.5300"
"","1017742","TUR","F","I","A","Yes","49.7100"
"","1038579","BRA","F","I","B","Yes","23.9000"
"","1029379","USA","F","A","B","Yes","33.4800"
"","1006595","FRA","F","I","B","Yes","19.1000"
"","1037474","BRA","O","A","B","Yes","67.2400"
"","1026527","USA","M","I","A","Yes","213.6000"
"","1023475","USA","F","A","A","Yes","42.5700"
"","1045058","USA","F","I","B","Yes","146.7800"
"","1018933","AUS","unknown","I","A","Yes","31.5600"
"","1023937","MEX","F","I","A","Yes","21.8900"
"","1045885","TUR","M","I","A","Yes","102.8100"
"","1032430","BRA","M","A","B","Yes","37.5000"
"","1045841","unknown","F","I","A","Yes","47.5934"
"","1026007","ESP","F","I","A","Yes","95.8800"
"","1012372","DEU","unknown","A","A","Yes","66.3900"
"","1043465","FRA","M","A","B","Yes","38.2100"
"","1014039","USA","F","A","B","Yes","88.6600"
"","1005820","BRA","M","I","A","Yes","61.5600"
"","1020416","BRA","F","A","B","Yes","32.3600"
"","1027350","unknown","M","I","B","Yes","122.8700"
"","1019868","USA","F","I","A","Yes","128.7400"
"","1036427","USA","F","I","B","Yes","93.8800"
"","1028184","USA","M","A","B","Yes","239.2052"
"","1037220","USA","F","I","A","Yes","65.9200"
"","1025066","BRA","F","A","A","Yes","31.7000"
"","1019593","USA","M","I","B","Yes","69.4400"
"","1025491","DEU","unknown","I","B","Yes","68.2600"
"","1018970","USA","M","I","A","Yes","142.1100"
"","1013108","CAN","M","I","A","Yes","113.8500"
"","1025081","TUR","unknown","I","A","Yes","91.1600"
"","1031137","GBR","F","I","A","Yes","42.6900"
"","1031672","TUR","F","A","A","Yes","14.4300"
"","1008419","DEU","F","I","B","Yes","80.5700"
"","1031756","MEX","M","I","B","Yes","10.7500"
"","1017475","MEX","unknown","I","A","Yes","44.5700"
"","1047062","USA","M","I","B","Yes","60.4000"
"","1022775","USA","M","I","B","Yes","77.7000"
"","1004270","USA","unknown","I","B","Yes","19.9400"
"","1007530","DEU","M","I","B","Yes","20.4400"
"","1001842","BRA","F","A","A","Yes","45.9700"
"","1033247","MEX","M","A","B","Yes","66.4400"
"","1019808","MEX","F","A","B","Yes","137.7300"
"","1004241","DEU","M","A","A","Yes","95.0100"
"","1002535","MEX","M","A","A","Yes","109.1700"
"","1035025","TUR","M","I","B","Yes","44.9500"
"","1005162","MEX","F","A","B","Yes","74.9500"
"","1025525","BRA","F","A","B","Yes","52.3100"
"","1016925","USA","F","I","B","Yes","67.4600"
"","1012828","BRA","F","I","B","Yes","18.5900"
"","1030499","BRA","unknown","A","B","Yes","80.3700"
"","1006239","BRA","F","A","A","Yes","118.9300"
"","1046864","USA","M","I","A","Yes","38.8367"
"","1034036","BRA","F","A","A","Yes","14.6200"
"","1015329","BRA","M","I","A","Yes","75.6200"
"","1007778","GBR","M","I","B","Yes","101.2700"
"","1042306","USA","F","I","A","Yes","100.8000"
"","1018679","USA","M","I","B","Yes","63.2900"
"","1047411","BRA","F","A","A","Yes","64.9400"
"","1045759","MEX","M","A","B","Yes","115.0700"
"","1034752","USA","M","A","B","Yes","64.4000"
"","1027975","TUR","F","I","A","Yes","430.4965"
"","1045454","MEX","F","I","B","Yes","56.3200"
"","1016927","unknown","M","I","B","Yes","29.2400"
"","1003105","USA","F","A","A","Yes","74.8700"
"","1046463","USA","M","I","A","Yes","84.1400"
"","1020394","USA","unknown","I","A","Yes","94.0300"
"","1029093","BRA","unknown","A","A","Yes","35.6400"
"","1022043","MEX","unknown","A","B","Yes","194.4000"
"","1014788","USA","M","A","A","Yes","70.1600"
"","1039030","BRA","F","I","B","Yes","17.2100"
"","1024291","CAN","F","A","B","Yes","80.6200"
"","1018725","GBR","F","A","B","Yes","11.3900"
"","1027071","MEX","M","I","A","Yes","58.2800"
"","1014151","FRA","F","I","A","Yes","53.2200"
"","1038177","USA","M","I","B","Yes","19.9700"
"","1021764","BRA","M","I","B","Yes","71.2900"
"","1029406","USA","M","A","B","Yes","36.7200"
"","1047514","USA","F","A","A","Yes","34.3700"
"","1028873","CAN","M","A","A","Yes","58.6100"
"","1029810","TUR","unknown","I","A","Yes","53.6100"
"","1006149","BRA","O","A","A","Yes","18.3300"
"","1049396","TUR","M","I","A","Yes","48.4400"
"","1029796","MEX","M","I","B","Yes","54.5400"
"","1024350","USA","F","A","A","Yes","163.4200"
"","1006628","USA","unknown","I","A","Yes","24.1400"
"","1034444","MEX","F","I","B","Yes","57.1000"
"","1033052","USA","M","I","B","Yes","58.1500"
"","1028224","USA","F","I","A","Yes","60.7900"
"","1015035","MEX","unknown","A","B","Yes","113.5100"
"","1023508","CAN","F","I","B","Yes","30.2800"
"","1014814","DEU","F","A","A","Yes","66.9400"
"","1042128","BRA","F","I","A","Yes","96.7336"
"","1014436","BRA","M","A","A","Yes","53.8700"
"","1044284","BRA","F","A","B","Yes","70.7800"
"","1008685","USA","F","A","B","Yes","31.0665"
"","1024214","USA","M","A","A","Yes","36.4400"
"","1010886","GBR","M","I","B","Yes","41.3200"
"","1029443","GBR","F","I","B","Yes","32.4900"
"","1015294","TUR","M","I","A","Yes","101.4700"
"","1028834","USA","F","I","A","Yes","109.2800"
"","1011497","USA","M","A","A","Yes","91.3500"
"","1042633","MEX","F","A","B","Yes","18.3800"
"","1010558","FRA","M","I","B","Yes","40.8800"
"","1008073","MEX","F","I","B","Yes","34.2500"
"","1035511","USA","M","I","A","Yes","74.7300"
"","1009420","BRA","unknown","A","A","Yes","91.7700"
"","1004908","GBR","F","A","A","Yes","41.8900"
"","1025845","USA","O","A","A","Yes","173.6700"
"","1011286","DEU","M","I","B","Yes","45.3705"
"","1028348","BRA","F","A","B","Yes","87.9000"
"","1044066","USA","F","I","B","Yes","185.2600"
"","1032122","USA","F","A","B","Yes","32.4100"
"","1014741","MEX","F","A","A","Yes","41.5100"
"","1038289","GBR","M","I","A","Yes","74.0700"
"","1036379","AUS","F","A","A","Yes","88.3200"
"","1034200","CAN","M","A","B","Yes","35.0000"
"","1004078","USA","F","A","B","Yes","160.8200"
"","1031941","CAN","M","I","B","Yes","56.3600"
"","1045399","USA","unknown","A","B","Yes","17.4500"
"","1037502","TUR","F","A","A","Yes","90.0185"
"","1027076","GBR","F","I","B","Yes","66.8000"
"","1032927","USA","M","I","A","Yes","62.8200"
"","1017671","DEU","M","A","B","Yes","182.9300"
"","1042989","USA","F","I","B","Yes","40.4100"
"","1032700","BRA","unknown","I","A","Yes","25.1300"
"","1025024","TUR","F","I","A","Yes","256.6643"
"","1026429","TUR","F","","A","Yes","53.0500"
"","1024139","BRA","F","A","A","Yes","121.8600"
"","1011070","USA","M","A","A","Yes","95.6700"
"","1021543","USA","unknown","I","A","Yes","58.1200"
"","1005994","BRA","M","A","B","Yes","8.6900"
"","1043763","BRA","unknown","A","B","Yes","21.9975"
"","1037141","FRA","F","A","B","Yes","105.1900"
"","1032941","TUR","O","I","B","Yes","43.4500"
"","1012880","USA","F","A","B","Yes","29.5700"
"","1033442","USA","F","A","B","Yes","18.4900"
"","1010454","USA","F","A","A","Yes","64.1500"
"","1046581","FRA","F","I","A","Yes","333.7900"
"","1015397","ESP","unknown","I","B","Yes","200.6678"
"","1004174","USA","M","I","A","Yes","42.5400"
"","1035892","DEU","M","A","B","Yes","40.6900"
"","1031412","USA","M","A","A","Yes","22.3900"
"","1033298","USA","O","A","B","Yes","13.9300"
"","1019349","USA","unknown","I","B","Yes","86.1482"
"","1047318","USA","F","A","A","Yes","49.1924"
"","1001128","FRA","unknown","I","B","Yes","35.5700"
"","1012463","USA","M","A","B","Yes","63.8300"
"","1043833","DEU","M","I","A","Yes","30.2000"
"","1029080","USA","M","I","A","Yes","166.7100"
"","1000101","MEX","F","A","B","Yes","23.8045"
"","1013138","USA","F","I","A","Yes","43.0200"
"","1041077","USA","unknown","A","A","Yes","16.7000"
"","1026786","USA","F","A","A","Yes","91.6600"
"","1003930","USA","F","A","A","Yes","80.1700"
"","1013334","BRA","F","A","A","Yes","56.5700"
"","1031570","FRA","unknown","A","B","Yes","23.5500"
"","1016079","USA","unknown","I","A","Yes","54.6100"
"","1043470","DEU","M","A","B","Yes","45.7200"
"","1039887","BRA","F","A","B","Yes","47.0600"
"","1038005","BRA","F","A","B","Yes","59.9100"
"","1043666","USA","F","A","B","Yes","7.5200"
"","1004313","USA","unknown","I","A","Yes","105.7100"
"","1018479","USA","F","I","A","Yes","88.3800"
"","1003959","MEX","unknown","I","A","Yes","19.0600"
"","1043954","USA","F","I","B","Yes","21.3100"
"","1046359","BRA","unknown","I","A","Yes","78.4100"
"","1012809","DEU","M","I","B","Yes","47.8200"
"","1012413","GBR","F","A","B","Yes","23.2300"
"","1020741","DEU","F","I","B","Yes","50.5900"
"","1004444","USA","unknown","I","B","Yes","52.6000"
"","1020176","FRA","O","I","B","Yes","130.1800"
"","1048757","TUR","M","I","A","Yes","115.4400"
"","1009633","USA","F","I","B","Yes","61.9100"
"","1047471","FRA","M","A","B","Yes","60.1500"
"","1042373","USA","M","I","A","Yes","16.4900"
"","1013878","USA","F","I","A","Yes","56.1900"
"","1032843","USA","F","I","B","Yes","58.8300"
"","1018539","CAN","F","I","A","Yes","29.8500"
"","1038594","DEU","F","A","B","Yes","23.7700"
"","1015794","USA","M","A","B","Yes","52.3100"
"","1007536","USA","M","I","B","Yes","71.0100"
"","1017574","BRA","F","A","B","Yes","831.6000"
"","1036174","BRA","O","I","A","Yes","195.4600"
"","1021426","AUS","F","A","A","Yes","19.0300"
"","1021715","USA","F","A","A","Yes","121.6300"
"","1019926","USA","F","A","A","Yes","42.8000"
"","1049097","USA","M","A","A","Yes","119.6400"
"","1028489","BRA","F","I","B","Yes","85.9800"
"","1013124","USA","unknown","I","B","Yes","20.5800"
"","1006549","CAN","M","I","B","Yes","31.6100"
"","1004362","USA","M","A","A","Yes","92.1300"
"","1036286","BRA","F","I","A","Yes","65.5400"
"","1025269","USA","M","I","B","Yes","63.6900"
"","1028961","USA","M","I","A","Yes","220.2700"
"","1036929","FRA","unknown","I","A","Yes","27.0700"
"","1036236","BRA","unknown","A","B","Yes","25.5200"
"","1018258","MEX","F","I","A","Yes","30.0000"
"","1000141","BRA","M","A","A","Yes","11.4900"
"","1008421","BRA","F","I","A","Yes","22.2300"
"","1032228","USA","O","A","A","Yes","20.2400"
"","1035145","BRA","F","I","B","Yes","47.2300"
"","1012693","MEX","F","I","A","Yes","130.8100"
"","1049880","TUR","M","I","A","Yes","186.6900"
"","1049874","USA","M","I","A","Yes","29.8900"
"","1041923","USA","M","I","A","Yes","38.6300"
"","1016258","MEX","M","I","B","Yes","42.9900"
"","1029026","TUR","F","I","A","Yes","44.3100"
"","1016724","FRA","F","I","B","Yes","57.0300"
"","1046264","CAN","F","A","B","Yes","109.6000"
"","1020700","USA","F","A","B","Yes","161.9400"
"","1043497","USA","F","I","B","Yes","59.2700"
"","1008723","FRA","M","I","B","Yes","141.2800"
"","1027698","BRA","F","I","A","Yes","31.0000"
"","1022491","BRA","M","I","A","Yes","79.2900"
"","1022222","USA","M","A","A","Yes","53.9100"
"","1042396","GBR","unknown","I","B","Yes","127.7400"
"","1028212","BRA","M","I","B","Yes","69.9300"
"","1023980","BRA","F","I","A","Yes","4.7748"
"","1042915","USA","unknown","I","B","Yes","97.3800"
"","1037896","USA","M","A","A","Yes","57.6200"
"","1026581","GBR","F","A","B","Yes","101.5592"
"","1014163","BRA","F","I","A","Yes","40.4335"
"","1017544","USA","F","I","A","Yes","79.3900"
"","1023955","USA","M","A","A","Yes","56.0100"
"","1030428","USA","unknown","A","A","Yes","55.3900"
"","1002553","USA","M","I","A","Yes","37.1300"
"","1001425","USA","M","A","B","Yes","309.8000"
"","1029583","FRA","F","A","A","Yes","77.6200"
"","1049009","BRA","M","I","A","Yes","140.5700"
"","1032138","BRA","M","A","A","Yes","76.9800"
"","1012845","USA","F","I","B","Yes","44.7400"
"","1044458","USA","F","A","B","Yes","95.9300"
"","1035885","USA","F","I","A","Yes","215.4900"
"","1044101","TUR","F","A","A","Yes","229.0200"
"","1039566","USA","F","I","B","Yes","28.0600"
"","1009293","MEX","F","I","B","Yes","57.9100"
"","1016138","BRA","unknown","I","B","Yes","45.8300"
"","1024748","GBR","F","I","A","Yes","62.3700"
"","1019375","BRA","F","A","B","Yes","22.7800"
"","1028044","GBR","F","A","A","Yes","37.0000"
"","1038571","BRA","F","A","A","Yes","46.9500"
"","1000253","DEU","M","A","B","Yes","40.3200"
"","1008529","BRA","M","I","A","Yes","54.8900"
"","1002751","BRA","F","I","B","Yes","111.8100"
"","1035407","GBR","M","I","B","Yes","139.2400"
"","1016467","USA","unknown","I","B","Yes","55.8700"
"","1006799","FRA","M","I","A","Yes","149.8200"
"","1031344","DEU","unknown","I","B","Yes","35.9400"
"","1018296","FRA","F","A","B","Yes","72.8400"
"","1001949","BRA","F","A","B","Yes","74.7100"
"","1017435","USA","M","A","B","Yes","5.0500"
"","1011722","USA","F","I","A","Yes","49.3700"
"","1005312","CAN","F","A","B","Yes","85.3200"
"","1038380","USA","unknown","I","A","Yes","94.0500"
"","1021090","USA","M","A","B","Yes","34.8100"
"","1048057","BRA","F","I","B","Yes","26.8900"
"","1017307","USA","F","I","B","Yes","8.6600"
"","1015840","BRA","F","I","A","Yes","70.4600"
"","1004201","USA","F","A","A","Yes","74.1500"
"","1047029","USA","unknown","A","B","Yes","229.8093"
"","1033523","USA","F","I","A","Yes","174.0000"
"","1049834","USA","F","I","A","Yes","160.3500"
"","1032065","USA","F","A","A","Yes","163.3172"
"","1019209","GBR","F","I","B","Yes","180.9241"
"","1047163","USA","F","I","A","Yes","97.5700"
"","1029709","USA","M","I","A","Yes","48.2400"
"","1038608","USA","M","A","B","Yes","36.2300"
"","1015711","TUR","M","A","B","Yes","57.7100"
"","1007984","USA","F","A","A","Yes","58.7000"
"","1044543","USA","M","I","B","Yes","351.5000"
"","1029281","USA","M","I","B","Yes","31.9300"
"","1021419","BRA","unknown","A","B","Yes","14.9300"
"","1045583","USA","M","I","A","Yes","105.7400"
"","1033394","USA","M","I","B","Yes","58.7000"
"","1018309","TUR","F","I","B","Yes","86.3800"
"","1026749","FRA","F","A","A","Yes","44.4700"
"","1018689","MEX","M","I","B","Yes","98.4400"
"","1031254","BRA","M","I","A","Yes","123.2500"
"","1025477","USA","F","I","B","Yes","76.6600"
"","1021615","MEX","F","A","B","Yes","35.9900"
"","1017801","TUR","F","I","A","Yes","40.8900"
"","1003127","MEX","M","I","B","Yes","139.7300"
"","1008181","USA","M","A","B","Yes","26.2000"
"","1001725","USA","M","I","A","Yes","38.5500"
"","1041905","USA","M","I","B","Yes","29.2200"
"","1005912","CAN","F","I","B","Yes","47.4300"
"","1030697","BRA","M","I","A","Yes","70.8200"
"","1038379","USA","M","A","B","Yes","107.3600"
"","1010014","DEU","F","I","B","Yes","24.2700"
"","1026374","BRA","F","I","A","Yes","129.6800"
"","1006877","USA","unknown","A","B","Yes","37.1600"
"","1032254","BRA","M","I","A","Yes","156.7600"
"","1048243","TUR","unknown","I","B","Yes","21.4300"
"","1042889","BRA","M","I","A","Yes","41.5800"
"","1034993","USA","M","A","A","Yes","89.8925"
"","1046563","DEU","M","A","B","Yes","13.4300"
"","1041435","GBR","F","I","A","Yes","110.9600"
"","1040652","MEX","F","I","A","Yes","196.7000"
"","1003823","USA","F","I","A","Yes","40.2100"
"","1027689","USA","M","I","A","Yes","31.2300"
"","1034148","USA","M","I","A","Yes","64.4100"
"","1035508","USA","M","A","B","Yes","48.3100"
"","1005514","BRA","unknown","A","A","Yes","50.8100"
"","1027666","GBR","F","A","A","Yes","12.3800"
"","1020698","BRA","F","I","B","Yes","52.8800"
"","1020350","USA","F","A","A","Yes","87.4300"
"","1008392","USA","F","A","B","Yes","135.5000"
"","1036788","USA","F","I","B","Yes","82.7300"
"","1045027","USA","F","A","A","Yes","90.4000"
"","1044965","USA","M","I","B","Yes","58.7900"
"","1030777","MEX","unknown","I","A","Yes","149.9600"
"","1046912","DEU","F","A","A","Yes","92.2900"
"","1016374","BRA","F","I","A","Yes","114.1193"
"","1046967","TUR","F","A","A","Yes","33.9000"
"","1019907","TUR","F","A","A","Yes","745.8000"
"","1029684","TUR","M","I","B","Yes","57.3800"
"","1015481","MEX","F","A","B","Yes","83.2500"
"","1044255","TUR","F","I","A","Yes","147.2400"
"","1041356","BRA","unknown","I","A","Yes","153.9309"
"","1022747","DEU","F","A","B","Yes","86.2700"
"","1010840","DEU","F","A","A","Yes","48.7300"
"","1014924","USA","F","A","A","Yes","32.4100"
"","1005242","BRA","unknown","A","B","Yes","51.6283"
"","1024972","TUR","M","A","B","Yes","45.3700"
"","1045701","USA","M","I","A","Yes","29.1200"
"","1043043","DEU","F","A","A","Yes","89.9200"
"","1017287","USA","F","A","B","Yes","20.6200"
"","1035283","USA","F","I","B","Yes","24.0900"
"","1044167","USA","unknown","I","B","Yes","39.3600"
"","1033474","BRA","M","A","B","Yes","91.6600"
"","1040872","MEX","M","A","B","Yes","48.6300"
"","1038575","DEU","F","A","A","Yes","38.8600"
"","1039606","TUR","M","A","B","Yes","84.5400"
"","1027638","USA","F","I","B","Yes","20.8300"
"","1010754","USA","unknown","A","A","Yes","13.1200"
"","1022788","USA","M","A","A","Yes","98.4600"
"","1015945","USA","F","A","B","Yes","28.8500"
"","1006113","BRA","F","I","A","Yes","11.7600"
"","1008173","MEX","O","A","B","Yes","83.8675"
"","1044373","USA","F","A","A","Yes","45.4900"
"","1011732","FRA","unknown","I","B","Yes","42.7137"
"","1037062","DEU","M","I","A","Yes","142.7200"
"","1043835","USA","F","A","A","Yes","425.4000"
"","1011701","MEX","F","I","A","Yes","160.7600"
"","1032165","USA","F","I","B","Yes","75.9300"
"","1002992","BRA","unknown","I","B","Yes","25.8000"
"","1024908","MEX","F","I","B","Yes","75.1900"
"","1021165","TUR","F","I","B","Yes","102.0400"
"","1048842","MEX","F","I","A","Yes","132.1900"
"","1048027","DEU","F","A","A","Yes","44.6300"
"","1028453","CAN","M","I","B","Yes","28.2800"
"","1022653","BRA","F","A","A","Yes","31.0900"
"","1014840","USA","F","A","A","Yes","41.0200"
"","1038566","MEX","F","A","A","Yes","19.5800"
"","1003061","USA","F","I","B","Yes","135.3100"
"","1010394","MEX","F","A","B","Yes","107.2200"
"","1011011","CAN","M","I","B","Yes","35.4100"
"","1015612","USA","M","I","A","Yes","175.0000"
"","1018030","USA","unknown","A","A","Yes","30.0100"
"","1021238","BRA","F","I","B","Yes","13.4200"
"","1003640","USA","unknown","A","A","Yes","16.6200"
"","1037243","BRA","F","A","B","Yes","91.1600"
"","1022336","DEU","unknown","I","B","Yes","155.3177"
"","1001461","BRA","F","I","A","Yes","50.0200"
"","1024720","ESP","M","I","A","Yes","42.8800"
"","1038756","BRA","M","A","A","Yes","174.7400"
"","1007688","USA","F","I","A","Yes","95.5700"
"","1005760","USA","M","A","B","Yes","42.8200"
"","1010975","BRA","F","A","B","Yes","74.3257"
"","1013272","USA","F","I","B","Yes","7.9600"
"","1045020","USA","M","I","B","Yes","77.6100"
"","1018488","BRA","M","A","A","Yes","29.8300"
"","1043711","USA","F","A","B","Yes","134.1900"
"","1043134","ESP","F","I","B","Yes","59.7900"
"","1027268","USA","M","A","B","Yes","70.4300"
"","1012366","TUR","unknown","I","A","Yes","143.6100"
"","1007891","MEX","F","A","B","Yes","16.9000"
"","1049315","BRA","F","A","B","Yes","96.0800"
"","1036611","MEX","F","A","A","Yes","120.9800"
"","1011817","USA","O","I","A","Yes","47.4900"
"","1027905","TUR","F","A","B","Yes","21.5900"
"","1023816","USA","F","I","B","Yes","9.1900"
"","1031730","TUR","F","I","A","Yes","48.9900"
"","1046059","BRA","F","I","B","Yes","63.2700"
"","1042254","BRA","M","I","A","Yes","51.2700"
"","1043175","USA","M","A","A","Yes","53.8300"
"","1008745","TUR","F","I","B","Yes","26.5200"
"","1033706","GBR","M","I","A","Yes","98.1700"
"","1045091","GBR","M","I","A","Yes","41.7900"
"","1007249","BRA","M","I","A","Yes","176.8800"
"","1033892","USA","O","A","A","Yes","80.7300"
"","1000237","USA","M","I","B","Yes","13.1700"
"","1028315","USA","M","I","B","Yes","84.4600"
"","1024588","BRA","F","I","B","Yes","87.0000"
"","1009266","USA","M","A","B","Yes","23.8100"
"","1038031","MEX","M","A","B","Yes","70.3800"
"","1033206","DEU","unknown","I","B","Yes","25.1200"
"","1025717","DEU","M","A","B","Yes","64.3900"
"","1001155","USA","F","A","A","Yes","58.7600"
"","1003759","USA","M","I","A","Yes","12.2700"
"","1038524","USA","F","A","A","Yes","47.9600"
"","1017201","MEX","F","A","B","Yes","13.7400"
"","1010155","USA","F","I","B","Yes","62.1800"
"","1009852","BRA","F","A","B","Yes","22.0000"
"","1043645","BRA","M","I","B","Yes","178.1400"
"","1026797","BRA","F","A","A","Yes","55.8400"
"","1023740","BRA","M","I","A","Yes","72.5700"
"","1009958","BRA","F","A","A","Yes","48.3100"
"","1026421","TUR","M","I","A","Yes","87.0700"
"","1007878","BRA","M","A","B","Yes","177.7200"
"","1016063","GBR","F","I","B","Yes","96.4600"
"","1037691","USA","M","A","B","Yes","154.3400"
"","1027750","USA","F","A","B","Yes","57.4900"
"","1036803","USA","M","A","B","Yes","109.5800"
"","1048575","FRA","M","I","B","Yes","41.2800"
"","1044901","MEX","unknown","A","A","Yes","64.6300"
"","1028760","GBR","F","A","A","Yes","65.8800"
"","1025602","USA","M","A","B","Yes","62.3300"
"","1018502","DEU","M","I","A","Yes","400.9000"
"","1035383","BRA","M","A","B","Yes","33.4100"
"","1025178","USA","F","I","A","Yes","31.4100"
"","1019756","USA","M","I","B","Yes","144.9800"
"","1047127","GBR","F","I","A","Yes","95.0500"
"","1009333","MEX","M","I","A","Yes","96.7900"
